created_at,updated_at,clickability_test_id,headline,slug,impressions,clicks,significance,first_place,winner,test_week,CTR
2013-07-30 18:02:51.878,2016-04-02 16:27:17.988,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-5,2470,453,100.0,True,False,201330,0.1834008097165992
2013-07-15 07:26:41.342,2016-04-02 16:27:11.306,51e3a344be1e2cdda3002a74,"In Case You Missed It, Here's What The Trayvon Martin Case Was About (Aside From Attempted Justice)",in-case-you-missed-it-heres-what-the-trayvon-martin-case-was-about-aside-from-attempted-justice-3,11,2,0.0,False,False,201328,0.18181818181818182
2015-04-20 19:33:26.260,2016-04-02 16:32:25.329,5535537b646339001c260000,Canceling out the harmful effects of sitting is easier than you think.,canceling-out-the-harmful-effects-of-sitting-is-easier-than-you-think-pg2-5g,1948,350,1.7,False,False,201516,0.17967145790554415
2013-08-07 15:34:57.052,2016-04-02 16:27:21.534,520268fddb7593ebfb0092ff,"If This Reality Is So Obvious To Kids, Why Can't Adults Act On It?",if-this-reality-is-so-obvious-to-kids-why-cant-adults-act-on-it-1111115,18,3,0.0,False,False,201331,0.16666666666666666
2013-09-02 20:14:36.616,2016-04-02 16:27:32.989,5224f18861202c84890000e9,What Can Happen In A Flash Of A Second? He Stuck Around To Find Out.,what-can-happen-in-a-flash-of-a-second-he-stuck-around-to-find-out-2,6,1,0.0,False,False,201335,0.16666666666666666
2013-07-30 18:01:54.890,2016-04-02 16:27:17.981,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-2,2934,458,2.5,False,False,201330,0.15610088616223586
2013-09-09 21:27:01.378,2016-04-02 16:27:36.577,522e350a7799c66866000dd5,A Boy Makes Anti-Muslim Comments In Front Of An American Soldier. The Soldiers Reply = Priceless.,a-boy-makes-anti-muslim-comments-in-front-of-an-american-soldier-the-soldiers-reply-priceless-4,2713,404,100.0,True,False,201336,0.1489126428308146
2013-07-31 22:03:12.162,2016-04-02 16:27:18.982,51f9887485c659d650000058,Some Geek Boys Called These Geek Girls 'Fake.' They Certainly Won't Be Making That Mistake Again. ,some-geek-boys-called-these-geek-girls-fake-they-certainly-wont-be-making-that-mistake-again,2111,299,100.0,True,False,201330,0.14163903363334912
2013-07-29 19:38:50.321,2016-04-02 16:27:17.441,51f6c3bab7a5dfeb3c0006e6,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. They Respond Wonderfully.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-they-respond-wonderfully-3,1717,240,0.0,False,False,201330,0.13977868375072802
2013-07-08 22:05:58.504,2016-04-02 16:27:08.788,51db378f9d66b14ece00055b,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Already Experienced,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-already-experienced-am2-f,3650,499,100.0,True,True,201327,0.13671232876712328
2013-07-31 15:21:35.759,2016-04-02 16:27:18.611,51f92adec4c4c2f0f6005524,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. Their Response Is Superb.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-their-response-is-superb-6,2760,377,100.0,True,True,201330,0.13659420289855073
2013-09-09 22:57:52.394,2016-04-02 16:27:36.620,522e524ba96d438534000251,A Boy Makes Anti-Muslim Comments In Front Of An American Soldier. The Soldiers Reply: Priceless.,a-boy-makes-anti-muslim-comments-in-front-of-an-american-soldier-the-soldiers-reply-priceless-2,3894,530,100.0,True,False,201336,0.13610683102208526
2013-07-29 18:47:36.100,2016-04-02 16:27:17.412,51f6b89fb7a5dfe3b90000bd,An Awful Tabloid Decided To Review Her Lady Parts Instead Of Her Music. So She Responded Awesomely.,an-awful-tabloid-decided-to-review-her-lady-parts-instead-of-her-music-so-she-responded-awesomely-2,1194,160,100.0,True,True,201330,0.13400335008375208
2014-03-31 18:50:43.860,2016-04-02 16:28:47.964,5339b6438457c0481800000d,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-2,3914,524,100.0,True,False,201413,0.13387838528359736
2013-07-30 18:02:40.540,2016-04-02 16:27:17.986,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-4,2869,384,0.0,False,False,201330,0.13384454513767863
2013-07-30 18:02:12.420,2016-04-02 16:27:17.983,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-3,2894,385,0.0,False,False,201330,0.13303386316516932
2013-07-31 22:03:27.988,2016-04-02 16:27:18.987,51f9887485c659d650000058,Some Rude Geek Boys Called These Geek Girls 'Fake.' They Won't Make That Mistake Again.,some-rude-geek-boys-called-these-geek-girls-fake-they-wont-make-that-mistake-again,2064,273,55.5,False,False,201330,0.13226744186046513
2013-07-08 21:35:18.532,2016-04-02 16:27:08.746,51db308c132578e2d90086d0,Dustin Hoffman Breaks Down Crying Trying To Explain Something That Every Woman Sadly Already Knows,dustin-hoffman-breaks-down-crying-trying-to-explain-something-that-every-woman-sadly-already-knows-am2-e,2649,347,100.0,True,False,201327,0.1309928274820687
2013-09-10 13:32:38.541,2016-04-02 16:27:36.825,522e524ba96d438534000251,A Boy Makes Anti-Muslim Comments In Front Of An American Soldier. The Soldiers Reply: Priceless.,a-boy-makes-anti-muslim-comments-in-front-of-an-american-soldier-the-soldiers-reply-priceless-3,3535,463,58.8,False,False,201336,0.13097595473833099
2013-07-31 21:58:59.223,2016-04-02 16:27:18.979,51f9887485c659d650000058,Some Geek Boys Called These Geek Girls 'Fake.' They Won't Make That Mistake Again.,some-geek-boys-called-these-geek-girls-fake-they-wont-make-that-mistake-again,2244,293,17.5,False,False,201330,0.1305704099821747
2013-09-09 21:25:03.255,2016-04-02 16:27:36.572,522e350a7799c66866000dd5,"A Boy Makes Racist Comments In Front Of An American Soldier. Bad Idea, Dude.",a-boy-makes-racist-comments-in-front-of-an-american-soldier-bad-idea-dude,2991,390,15.2,False,False,201336,0.13039117352056168
2013-07-31 15:20:37.599,2016-04-02 16:27:18.605,51f92adec4c4c2f0f6005524,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. Their Response Is Superb.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-their-response-is-superb-4,2754,357,27.8,False,False,201330,0.12962962962962962
2014-03-31 18:50:48.071,2016-04-02 16:25:21.681,5339b6438457c0481800000d,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-3,3929,506,37.7,False,False,201413,0.12878595062356835
2013-09-09 21:26:07.462,2016-04-02 16:27:36.575,522e350a7799c66866000dd5,"A Boy Is Racist In Front Of An American Soldier. Yeah, So He Doesn't Let Him Get Away With It.",a-boy-is-racist-in-front-of-an-american-soldier-yeah-so-he-doesnt-let-him-get-away-with-it,2887,369,6.1,False,False,201336,0.12781434014547974
2013-07-18 19:06:30.090,2016-04-02 16:27:13.673,51e83c9e29280f6d700001d8,It's Rare That The Daily Show Slips Out Of Satire And Into Anger. This Is One Of Those Times. ,its-rare-that-the-daily-show-slips-out-of-satire-and-into-anger-this-is-one-of-those-times-rw2-1a,2719,347,100.0,True,False,201328,0.12762044869437292
2013-07-29 18:23:59.655,2016-04-02 16:27:17.400,51f6b17a8ca5ba8de8000ad1,An Awful Tabloid Decided To Review Her Lady Parts Instead Of Her Music. So She Responded Awesomely.,an-awful-tabloid-decided-to-review-her-lady-parts-instead-of-her-music-so-she-responded-awesomely-5,2649,337,0.0,False,False,201330,0.1272178180445451
2013-07-31 15:22:17.214,2016-04-02 16:27:18.613,51f92adec4c4c2f0f6005524,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. Their Response Is Superb.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-their-response-is-superb-7,2820,355,30.6,False,False,201330,0.12588652482269502
2013-07-29 18:20:47.463,2016-04-02 16:27:17.386,51f6b17a8ca5ba8de8000ad1,An Awful Tabloid Decided To Review Her Lady Parts Instead Of Her Music. So She Responded Awesomely.,an-awful-tabloid-decided-to-review-her-lady-parts-instead-of-her-music-so-she-responded-awesomely-2,2787,350,0.0,False,False,201330,0.12558306422676713
2014-03-31 18:51:43.382,2016-04-02 16:25:21.686,5339b6438457c0481800000d,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-5,3769,473,32.8,False,False,201413,0.12549747943751657
2013-07-30 17:39:45.805,2016-04-02 16:27:17.971,51f7fa401ec2c0ab1d006c68,Anyone Could Make This Mistake. The Fact It Happens All The Time Is Frightening.,anyone-could-make-this-mistake-the-fact-it-happens-all-the-time-is-frightening-6,2847,357,100.0,True,True,201330,0.12539515279241306
2013-07-08 21:38:26.226,2016-04-02 16:27:08.755,51db308c132578e2d90086d0,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Already Experienced,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-already-experienced-am2-e,2736,343,70.7,False,False,201327,0.1253654970760234
2013-07-08 22:06:57.956,2016-04-02 16:27:08.790,51db378f9d66b14ece00055b,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Already Experienced,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-already-experienced-am2-f-2,3423,428,24.2,False,False,201327,0.12503651767455448
2013-07-29 17:06:28.546,2016-04-02 16:27:17.332,51f69bcd42dffa76b600038b,An Awful Tabloid Decided To Review Her Lady Parts Instead Of Her Music. So She Responded Awesomely.,an-awful-tabloid-decided-to-review-her-lady-parts-instead-of-her-music-so-she-responded-awesomely-am2-1d,2516,312,100.0,True,False,201330,0.12400635930047695
2013-09-10 13:33:08.118,2016-04-02 16:27:36.827,522e524ba96d438534000251,A Boy Makes Anti-Muslim Comments In Front Of An American Soldier. The Soldiers Reply: Priceless.,a-boy-makes-anti-muslim-comments-in-front-of-an-american-soldier-the-soldiers-reply-priceless-4,3824,469,15.7,False,False,201336,0.12264644351464435
2014-03-31 18:50:53.111,2016-04-02 16:25:21.684,5339b6438457c0481800000d,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-4,3867,474,23.5,False,False,201413,0.1225756400310318
2013-10-29 21:21:01.635,2016-04-02 16:27:58.580,5270269d4b5f2a2ca00006bf,See Why We Have An Absolutely Ridiculous Standard Of Beauty In Just 37 Seconds,see-why-we-have-an-absolutely-ridiculous-standard-of-beauty-in-just-37-seconds-3,2477,303,100.0,True,True,201343,0.12232539362131611
2013-07-30 17:39:59.473,2016-04-02 16:27:17.976,51f7fa401ec2c0ab1d006c68,Anyone Could Make This Mistake. The Fact It Happens On Average Every 10 Days Is Frightening,anyone-could-make-this-mistake-the-fact-it-happens-on-average-every-10-days-is-frightening,2766,338,67.7,False,False,201330,0.12219812002892264
2014-03-31 18:52:05.177,2016-04-02 16:25:21.689,5339b6438457c0481800000d,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-6,3802,462,12.0,False,False,201413,0.1215149921094161
2013-07-18 18:18:28.721,2016-04-02 16:27:13.658,51e830ae13368cbda3008812,"It's Rare That The Daily Show Slips Out Of Satire And Into Anger. This Is One Of Those Times. 
",its-rare-that-the-daily-show-slips-out-of-satire-and-into-anger-this-is-one-of-those-times-111111117,2712,328,100.0,True,False,201328,0.12094395280235988
2013-07-30 17:40:15.052,2016-04-02 16:27:17.978,51f7fa401ec2c0ab1d006c68,Anyone Can Become Distracted And Make This Mistake. The Fact It Happens All the Time is Frightening,anyone-can-become-distracted-and-make-this-mistake-the-fact-it-happens-all-the-time-is-frightening,2810,338,65.9,False,False,201330,0.1202846975088968
2013-07-31 22:00:55.762,2016-04-02 16:27:18.977,51f9887485c659d650000058,Some Rude Geek Boys Called These Geek Girls 'Fake.' They Won't Make That Stupid Mistake Again.,some-rude-geek-boys-called-these-geek-girls-fake-they-wont-make-that-stupid-mistake-again,2414,290,5.0,False,False,201330,0.12013256006628004
2013-07-08 21:36:25.545,2016-04-02 16:27:08.748,51db308c132578e2d90086d0,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Learned The Hard Way,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-learned-the-hard-way-am2-e,2781,334,24.0,False,False,201327,0.12010068320747933
2014-03-31 20:04:39.945,2016-04-02 16:28:47.959,5339c9925987ffed17000024,Lorde Found A Photoshopped Photo Of Herself And Decided To Tweet The Untouched Real One Next To It,lorde-found-a-photoshopped-photo-of-herself-and-decided-to-tweet-the-untouched-real-one-next-to-it-6,3815,458,100.0,True,True,201413,0.1200524246395806
2013-07-31 15:20:17.653,2016-04-02 16:27:18.599,51f92adec4c4c2f0f6005524,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. Their Response Is Superb.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-their-response-is-superb-3,2896,347,10.6,False,False,201330,0.11982044198895028
2013-07-29 18:21:34.908,2016-04-02 16:27:17.389,51f6b17a8ca5ba8de8000ad1,An Awful Tabloid Decided To Review Her Lady Parts Instead Of Her Music. So She Responded Awesomely.,an-awful-tabloid-decided-to-review-her-lady-parts-instead-of-her-music-so-she-responded-awesomely-3,2553,304,0.0,False,False,201330,0.1190755973364669
2013-07-08 21:37:07.736,2016-04-02 16:27:08.751,51db308c132578e2d90086d0,Dustin Hoffman Breaks Down Crying Trying To Explain Something That All Woman Sadly Already Realized,dustin-hoffman-breaks-down-crying-trying-to-explain-something-that-all-woman-sadly-already-realized-am2-e,2778,329,29.4,False,False,201327,0.11843052555795536
2013-07-18 19:08:11.435,2016-04-02 16:27:13.676,51e83c9e29280f6d700001d8,It's Rare That The Daily Show Slips Out Of Satire And Into Anger. This Is One Of Those Times. ,its-rare-that-the-daily-show-slips-out-of-satire-and-into-anger-this-is-one-of-those-times-rw2-1c,2649,312,25.4,False,False,201328,0.11778029445073612
2013-07-08 22:08:03.009,2016-04-02 16:27:08.793,51db378f9d66b14ece00055b,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Already Experienced,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-already-experienced-am2-f-3,3856,452,2.1,False,False,201327,0.11721991701244813
2013-07-18 20:36:03.820,2016-04-02 16:27:13.736,51e8511ad0637d4b5e001087,It's Rare That The Daily Show Slips Out Of Satire And Into Anger. This Is One Of Those Times.,its-rare-that-the-daily-show-slips-out-of-satire-and-into-anger-this-is-one-of-those-times-rw2-5b,2550,295,52.8,False,False,201328,0.11568627450980393
2013-07-03 15:58:41.583,2016-04-02 16:26:57.756,51d44819b0cee8c5ee006b81,A Famous Actress Called 'Cut' On This Awful Scene. A Scene Millions Of Women Recognize.,a-famous-actress-called-cut-on-this-awful-scene-a-scene-millions-of-women-recognize-2,2915,337,100.0,True,True,201326,0.11560891938250428
